ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
54,ResUnitSF,1,1,FALSE,-1.4172488,200,1.61051,0,70.86244,4.83E-04,0.002,0,-1.61E-04,0,FALSE
55,ResUnitSF,1,1,FALSE,-4.1229056,200,1.61051,0,193.2612,4.83E-04,0.002,0,-1.61E-04,0,FALSE
56,ResUnitSF,1,1,FALSE,-24.6085928,200,1.61051,0,520.19473,4.83E-04,0.002,0,-1.61E-04,0,FALSE
57,ResUnitSF,1,1,FALSE,-13.9470166,200,1.61051,0,383.30138,4.83E-04,0.002,0,-1.61E-04,0,FALSE
58,ResUnitSF,1,1,FALSE,-145.2035816,200,1.61051,0,7260.17908,4.83E-04,0.002,0,-1.61E-04,0,FALSE
59,ResUnitSF,1,1,FALSE,-211.4277528,200,1.61051,0,9403.76789,4.83E-04,0.002,0,-1.61E-04,0,FALSE
60,ResUnitSF,1,1,FALSE,-93.0230576,200,1.61051,0,4578.67993,4.83E-04,0.002,0,-1.61E-04,0,FALSE
61,ResUnitSF,1,1,FALSE,-76.982378,200,1.61051,0,3849.1189,4.83E-04,0.002,0,-1.61E-04,0,FALSE
62,ResUnitSF,1,1,FALSE,-173.3230862,200,1.61051,0,8666.15431,4.83E-04,0.002,0,-1.61E-04,0,FALSE
63,ResUnitSF,1,1,FALSE,-140.8874148,200,1.61051,0,6490.3553,4.83E-04,0.002,0,-1.61E-04,0,FALSE
64,ResUnitSF,1,1,FALSE,-165.6248484,200,1.61051,0,8252.25324,4.83E-04,0.002,0,-1.61E-04,0,FALSE
65,ResUnitSF,1,1,FALSE,-16.9747754,200,1.61051,0,848.73877,4.83E-04,0.002,0,-1.61E-04,0,FALSE
66,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
67,ResUnitSF,1,1,FALSE,-28.4416066,200,1.61051,0,1422.08033,4.83E-04,0.002,0,-1.61E-04,0,FALSE
68,ResUnitSF,1,1,FALSE,-71.2811726,200,1.61051,0,3549.56404,4.83E-04,0.002,0,-1.61E-04,0,FALSE
69,ResUnitSF,1,1,FALSE,-294.1757566,200,1.61051,0,14560.62091,4.83E-04,0.002,0,-1.61E-04,0,FALSE
70,ResUnitSF,1,1,FALSE,-178.7021896,200,1.61051,0,8935.10948,4.83E-04,0.002,0,-1.61E-04,0,FALSE
71,ResUnitSF,1,1,FALSE,-47.2523634,200,1.61051,0,2361.00766,4.83E-04,0.002,0,-1.61E-04,0,FALSE
72,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
73,ResUnitSF,1,1,FALSE,-278.779281,200,1.61051,0,13938.96405,4.83E-04,0.002,0,-1.61E-04,0,FALSE
74,ResUnitSF,1,1,FALSE,-137.3120826,200,1.61051,0,6865.60413,4.83E-04,0.002,0,-1.61E-04,0,FALSE
75,ResUnitSF,1,1,FALSE,-243.3802712,200,1.61051,0,12169.01356,4.83E-04,0.002,0,-1.61E-04,0,FALSE
76,ResUnitSF,1,1,FALSE,-93.6994718,200,1.61051,0,4684.97359,4.83E-04,0.002,0,-1.61E-04,0,FALSE
77,ResUnitSF,1,1,FALSE,-87.9016358,200,1.61051,0,4395.08179,4.83E-04,0.002,0,-1.61E-04,0,FALSE
78,ResUnitSF,1,1,FALSE,-116.5365036,200,1.61051,0,5826.82518,4.83E-04,0.002,0,-1.61E-04,0,FALSE
79,ResUnitSF,1,1,FALSE,-20.1957954,200,1.61051,0,964.69549,4.83E-04,0.002,0,-1.61E-04,0,FALSE
80,ResUnitSF,1,1,FALSE,-150.3894238,200,1.61051,0,7509.80813,4.83E-04,0.002,0,-1.61E-04,0,FALSE
81,ResUnitSF,1,1,FALSE,-297.0424644,200,1.61051,0,13703.82959,4.83E-04,0.002,0,-1.61E-04,0,FALSE
82,ResUnitSF,1,1,FALSE,-19.004018,200,1.61051,0,455.77433,4.83E-04,0.002,0,-1.61E-04,0,FALSE
83,ResUnitSF,1,1,FALSE,-245.5705648,200,1.61051,0,10986.89922,4.83E-04,0.002,0,-1.61E-04,0,FALSE
84,ResUnitSF,1,1,FALSE,-327.2234218,200,1.61051,0,15135.57298,4.83E-04,0.002,0,-1.61E-04,0,FALSE
85,ResUnitSF,1,1,FALSE,-52.1161036,200,1.61051,0,2605.80518,4.83E-04,0.002,0,-1.61E-04,0,FALSE
86,ResUnitSF,1,1,FALSE,-128.6475388,200,1.61051,0,6432.37694,4.83E-04,0.002,0,-1.61E-04,0,FALSE
87,ResUnitSF,1,1,FALSE,-268.2143354,200,1.61051,0,13410.71677,4.83E-04,0.002,0,-1.61E-04,0,FALSE
88,ResUnitSF,1,1,FALSE,-271.2743044,200,1.61051,0,13562.10471,4.83E-04,0.002,0,-1.61E-04,0,FALSE
89,ResUnitSF,1,1,FALSE,-127.4235512,200,1.61051,0,6371.17756,4.83E-04,0.002,0,-1.61E-04,0,FALSE
90,ResUnitSF,1,1,FALSE,-108.4195332,200,1.61051,0,5420.97666,4.83E-04,0.002,0,-1.61E-04,0,FALSE
91,ResUnitSF,1,1,FALSE,-23.8677582,200,1.61051,0,1193.38791,4.83E-04,0.002,0,-1.61E-04,0,FALSE
92,ResUnitSF,1,1,FALSE,-108.7416352,200,1.61051,0,5437.08176,4.83E-04,0.002,0,-1.61E-04,0,FALSE
93,ResUnitSF,1,1,FALSE,-128.518698,200,1.61051,0,6425.9349,4.83E-04,0.002,0,-1.61E-04,0,FALSE
94,ResUnitSF,1,1,FALSE,-63.131992,200,1.61051,0,3156.5996,4.83E-04,0.002,0,-1.61E-04,0,FALSE
95,ResUnitSF,1,1,FALSE,-110.964139,200,1.61051,0,5548.20695,4.83E-04,0.002,0,-1.61E-04,0,FALSE
96,ResUnitSF,1,1,FALSE,-40.7781132,200,1.61051,0,2038.90566,4.83E-04,0.002,0,-1.61E-04,0,FALSE
97,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
98,ResUnitSF,1,1,FALSE,-15.2354246,200,1.61051,0,761.77123,4.83E-04,0.002,0,-1.61E-04,0,FALSE
99,ResUnitSF,1,1,FALSE,-111.4795022,200,1.61051,0,5519.21777,4.83E-04,0.002,0,-1.61E-04,0,FALSE
100,ResUnitSF,1,1,FALSE,-121.1747724,200,1.61051,0,5429.02921,4.83E-04,0.002,0,-1.61E-04,0,FALSE
101,ResUnitSF,1,1,FALSE,-203.6650946,200,1.61051,0,10168.76014,4.83E-04,0.002,0,-1.61E-04,0,FALSE
102,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
103,ResUnitSF,1,1,FALSE,-3.2854404,200,1.61051,0,164.27202,4.83E-04,0.002,0,-1.61E-04,0,FALSE
104,ResUnitSF,1,1,FALSE,-4.6060586,200,1.61051,0,230.30293,4.83E-04,0.002,0,-1.61E-04,0,FALSE
105,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
106,ResUnitSF,1,1,FALSE,-114.7005222,200,1.61051,0,5735.02611,4.83E-04,0.002,0,-1.61E-04,0,FALSE
107,ResUnitSF,1,1,FALSE,-161.5663632,200,1.61051,0,8071.87612,4.83E-04,0.002,0,-1.61E-04,0,FALSE
108,ResUnitSF,1,1,FALSE,-260.7093588,200,1.61051,0,13012.9208,4.83E-04,0.002,0,-1.61E-04,0,FALSE
109,ResUnitSF,1,1,FALSE,-289.7951694,200,1.61051,0,14489.75847,4.83E-04,0.002,0,-1.61E-04,0,FALSE
110,ResUnitSF,1,1,FALSE,-268.7296986,200,1.61051,0,13436.48493,4.83E-04,0.002,0,-1.61E-04,0,FALSE
