TAZ,Commodity,Quantity
32,Single Family Detached Residential Economy,1209.071429
32,Single Family Attached Residential Economy,1582.428571
32,Multi-Family Residential Economy,1335.642857
33,Single Family Detached Residential Economy,1209.071429
33,Single Family Attached Residential Economy,1582.428571
33,Multi-Family Residential Economy,1335.642857
34,Single Family Detached Residential Economy,1209.071429
34,Single Family Attached Residential Economy,1582.428571
34,Multi-Family Residential Economy,1335.642857
35,Single Family Detached Residential Economy,1209.071429
35,Single Family Attached Residential Economy,1582.428571
35,Multi-Family Residential Economy,1335.642857
36,Single Family Detached Residential Economy,1209.071429
36,Single Family Attached Residential Economy,1582.428571
36,Multi-Family Residential Economy,1335.642857
37,Single Family Detached Residential Economy,1209.071429
37,Single Family Attached Residential Economy,1582.428571
37,Multi-Family Residential Economy,1335.642857
38,Single Family Detached Residential Economy,1209.071429
38,Single Family Attached Residential Economy,1582.428571
38,Multi-Family Residential Economy,1335.642857
39,Single Family Detached Residential Economy,1209.071429
39,Single Family Attached Residential Economy,1582.428571
39,Multi-Family Residential Economy,1335.642857
40,Single Family Detached Residential Economy,1209.071429
40,Single Family Attached Residential Economy,1582.428571
40,Multi-Family Residential Economy,1335.642857
41,Single Family Detached Residential Economy,1209.071429
41,Single Family Attached Residential Economy,1582.428571
41,Multi-Family Residential Economy,1335.642857
42,Single Family Detached Residential Economy,1209.071429
42,Single Family Attached Residential Economy,1582.428571
42,Multi-Family Residential Economy,1335.642857
156,Single Family Attached Residential Economy,685
156,Light Industrial Space,12225
157,Single Family Attached Residential Economy,685
157,Light Industrial Space,12225
158,Single Family Detached Residential Luxury,1321.333333
158,Multi-Family Residential Economy,29674.66667
161,Single Family Detached Residential Luxury,1321.333333
161,Multi-Family Residential Economy,29674.66667
162,Single Family Detached Residential Luxury,1321.333333
162,Multi-Family Residential Economy,29674.66667
195,Light Industrial Space,542.5
196,Light Industrial Space,542.5
198,Light Industrial Space,542.5
199,Light Industrial Space,542.5
837,Multi-Family Residential Economy,666
837,Single Family Attached Residential Economy,2320.666667
837,Single Family Detached Residential Luxury,14605.77778
837,Single Family Detached Residential Economy,1723.666667
838,Single Family Attached Residential Economy,826.3636364
838,Single Family Detached Residential Luxury,2420.181818
839,Single Family Attached Residential Economy,826.3636364
839,Single Family Detached Residential Luxury,2420.181818
840,Single Family Attached Residential Economy,826.3636364
840,Single Family Detached Residential Luxury,2420.181818
